Symbol,Company Name,Industry,Market Cap
A,Agilent Technologies,Diagnostics & Research,31897835612
AA,Alcoa,Aluminum,4734278500
AAC,Ares Acquisition,Shell Companies,760408343
AACG,ATA Creativity Global,Education & Training Services,31257407
AACI,Armada Acquisition I,Shell Companies,86379495
AACT,Ares Acquisition Corporation II,Shell Companies,639444992
AADI,Aadi Bioscience,Biotechnology,119166714
AAIC,Arlington Asset Investment,REIT - Mortgage,130879812
AAL,American Airlines Group,Airlines,7829421084
AAMC,Altisource Asset Management,Asset Management,6493949
AAME,Atlantic American,Insurance - Life,38356324
AAN,The Aaron's Company,Rental & Leasing Services,226559871
AAOI,Applied Optoelectronics,Semiconductors,315753475
AAON,"AAON, Inc.",Building Products & Equipment,4722741996
AAP,Advance Auto Parts,Specialty Retail,3398132942
AAPL,Apple,Consumer Electronics,2761781350861
AAT,American Assets Trust,REIT - Diversified,1534278630
AAU,Almaden Minerals,Gold,19555105
AB,AllianceBernstein Holding L.P.,Asset Management,3222122000
ABAT,American Battery Technology Company,Other Industrial Metals & Mining,214022428
ABBV,AbbVie,Drug Manufacturers - General,249613368737
ABCB,Ameris Bancorp,Banks - Regional,2892754673
ABCL,AbCellera Biologics,Biotechnology,1359973200
ABCM,Abcam,Biotechnology,5341804896
ABEO,Abeona Therapeutics,Biotechnology,111153991
ABEV,Ambev,Beverages - Brewers,42506098790
ABG,Asbury Automotive Group,Auto & Truck Dealerships,4321665548
ABIO,ARCA biopharma,Biotechnology,27397923
ABL,Abacus Life,Insurance - Life,401066016
ABLV,Able View,Advertising Agencies,34450966
ABM,ABM Industries,Specialty Business Services,2677645692
ABNB,Airbnb,Travel Services,78254613175
ABOS,Acumen Pharmaceuticals,Biotechnology,126732015
ABR,Arbor Realty Trust,REIT - Mortgage,2429790780
ABSI,Absci,Biotechnology,131649620
ABT,Abbott Laboratories,Medical Devices,166316902400
ABUS,Arbutus Biopharma,Biotechnology,321709425
ABVC,ABVC BioPharma,Biotechnology,4623126
ABVX,Abivax,Biotechnology,635236470
AC,Associated Capital Group,Capital Markets,718262897
ACA,Arcosa,Infrastructure Operations,3299223388
ACAB,Atlantic Coastal Acquisition Corp. II,Shell Companies,115918420
ACAC,Acri Capital Acquisition,Shell Companies,63567331
ACAD,ACADIA Pharmaceuticals,Biotechnology,3940956837
ACAH,Atlantic Coastal Acquisition,Shell Companies,126803768
ACAX,Alset Capital Acquisition,Shell Companies,48593722
ACB,Aurora Cannabis,Drug Manufacturers - Specialty & Generic,210711760
ACBA,Ace Global Business Acquisition,Shell Companies,40359978
ACCD,Accolade,Health Information Services,553445772
ACCO,ACCO Brands,Business Equipment & Supplies,479332870
ACDC,ProFrac Holding,Oil & Gas Equipment & Services,1534906440
ACEL,Accel Entertainment,Gambling,888692004
ACER,Acer Therapeutics,Biotechnology,20796591
ACET,Adicet Bio,Biotechnology,71059230
ACGL,Arch Capital Group,Insurance - Diversified,31901595000
ACHC,Acadia Healthcare Company,Medical Care Facilities,6658490832
ACHL,Achilles Therapeutics,Biotechnology,35348854
ACHR,Archer Aviation,Aerospace & Defense,1620257744
ACHV,Achieve Life Sciences,Biotechnology,90332824
ACI,Albertsons Companies,Grocery Stores,12640851174
ACIC,American Coastal Insurance,Insurance - Property & Casualty,322944360
ACIU,AC Immune,Biotechnology,227205125
ACIW,ACI Worldwide,Software - Infrastructure,2616053550
ACLS,Axcelis Technologies,Semiconductor Equipment & Materials,4302702425
ACLX,Arcellx,Biotechnology,2158262170
ACM,AECOM,Engineering & Construction,10960820902
ACMR,ACM Research,Semiconductor Equipment & Materials,906039607
ACN,Accenture,Information Technology Services,196750095912
ACNB,ACNB Corporation,Banks - Regional,308054033
ACNT,Ascent Industries Co.,Steel,86382950
ACON,Aclarion,Health Information Services,2734998
ACOR,Acorda Therapeutics,Drug Manufacturers - Specialty & Generic,12731525
ACR,ACRES Commercial Realty,REIT - Mortgage,65388246
ACRE,Ares Commercial Real Estate,REIT - Mortgage,539738911
ACRO,Acropolis Infrastructure Acquisition,Shell Companies,171245740
ACRS,Aclaris Therapeutics,Diagnostics & Research,380167002
ACRV,Acrivon Therapeutics,Biotechnology,126919175
ACRX,AcelRx Pharmaceuticals,Drug Manufacturers - Specialty & Generic,8420054
ACST,Acasti Pharma,Biotechnology,22558560
ACT,Enact Holdings,Insurance - Specialty,4516630620
ACTG,Acacia Research,Specialty Business Services,371577051
ACU,Acme United,Household & Personal Products,118065451
ACVA,ACV Auctions,Auto & Truck Dealerships,2364750180
ACXP,Acurx Pharmaceuticals,Biotechnology,42656728
ADAG,Adagene,Biotechnology,59176845
ADAP,Adaptimmune Therapeutics,Biotechnology,126656320
ADBE,Adobe,Software - Infrastructure,256634398000
ADC,Agree Realty,REIT - Retail,5928669600
ADCT,ADC Therapeutics,Biotechnology,64513997
ADD,Color Star Technology Co.,Entertainment,3311369
ADEA,Adeia,Software - Application,969317240
ADES,Advanced Emissions Solutions,Pollution & Treatment Controls,59929755
ADEX,Adit EdTech Acquisition,Shell Companies,95475072
ADI,Analog Devices,Semiconductors,83676884193
ADIL,Adial Pharmaceuticals,Biotechnology,2825714
ADM,Archer-Daniels-Midland Company,Farm Products,38888808127
ADMA,ADMA Biologics,Biotechnology,820906900
ADN,Advent Technologies Holdings,Utilities - Renewable,28785986
ADNT,Adient,Auto Parts,3363212241
ADOC,Edoc Acquisition,Shell Companies,42005964
ADP,Automatic Data Processing,Staffing & Employment Services,90289927000
ADPT,Adaptive Biotechnologies,Biotechnology,718885610
ADRT,Ault Disruptive Technologies,Shell Companies,37256781
ADSE,ADS-TEC Energy,Electrical Equipment & Parts,318227508
ADSK,Autodesk,Software - Application,43603580720
ADT,ADT Inc.,Security & Protection Services,5647108974
ADTH,AdTheorent Holding Company,Advertising Agencies,105845875
ADTN,ADTRAN Holdings,Communication Equipment,573590322
ADTX,Aditxt,Biotechnology,1559710
ADUS,Addus HomeCare,Medical Care Facilities,1372898649
ADV,Advantage Solutions,Advertising Agencies,778917581
ADVM,Adverum Biotechnologies,Biotechnology,94044682
ADXN,Addex Therapeutics,Biotechnology,5307744
AE,Adams Resources & Energy,Oil & Gas Refining & Marketing,83137504
AEAE,AltEnergy Acquisition,Shell Companies,78184212
AEE,Ameren,Utilities - Regulated Electric,20628502500
AEG,Aegon,Insurance - Diversified,9714541957
AEHL,Antelope Enterprise Holdings,Building Products & Equipment,4462733
AEHR,Aehr Test Systems,Semiconductor Equipment & Materials,694285900
AEI,Alset EHome International,Real Estate - Development,12190358
AEIS,Advanced Energy Industries,Electrical Equipment & Parts,3454479250
AEL,American Equity Investment Life Holding Company,Insurance - Life,4217675437
AEM,Agnico Eagle Mines,Gold,24535325440
AEMD,Aethlon Medical,Medical Devices,4644201
AENT,Alliance Entertainment Holding,Entertainment,129830224
AENZ,Aenza,Engineering & Construction,171567214
AEO,American Eagle Outfitters,Apparel Retail,3659378520
AEON,AEON Biopharma,Biotechnology,177622888
AEP,American Electric Power Company,Utilities - Regulated Electric,41069830720
AER,AerCap Holdings,Rental & Leasing Services,13885404400
AES,The AES Corporation,Utilities - Diversified,11243070776
AESI,Atlas Energy Solutions,Oil & Gas Equipment & Services,1896000019
AEVA,Aeva Technologies,Auto Parts,137132398
AEY,ADDvantage Technologies Group,Electronics & Computer Distribution,4284995
AEYE,AudioEye,Software - Application,57260555
AEZS,Aeterna Zentaris,Biotechnology,7637497
AFAR,Aura FAT Projects Acquisition,Shell Companies,62268909
AFBI,Affinity Bancshares,Banks - Regional,90117787
AFCG,AFC Gamma,REIT - Specialty,227898778
AFG,American Financial Group,Insurance - Property & Casualty,9323115096
AFIB,Acutus Medical,Medical Devices,17850977
AFL,Aflac,Insurance - Life,48849719576
AFMD,Affimed,Biotechnology,54478870
AFRI,Forafric Global,Farm Products,297282846
AFRM,Affirm Holdings,Software - Infrastructure,6767220922
AFYA,Afya Limited,Education & Training Services,1602659880
AG,First Majestic Silver,Silver,1391324389
AGAE,Allied Gaming & Entertainment,Entertainment,33303870
AGBA,AGBA Acquisition,Shell Companies,30936640
AGCO,AGCO Corporation,Farm & Heavy Construction Machinery,8971336378
AGE,AgeX Therapeutics,Biotechnology,22766985
AGEN,Agenus,Biotechnology,320700383
AGFY,Agrify,Engineering & Construction,2645409
AGI,Alamos Gold,Gold,5323195595
AGIL,AgileThought,Software - Application,9107780
AGIO,Agios Pharmaceuticals,Biotechnology,1250012192
AGL,agilon health,Medical Care Facilities,5944365885
AGLE,Aeglea BioTherapeutics,Biotechnology,45793398
AGM,Federal Agricultural Mortgage,Credit Services,1713443644
AGM.A,Federal Agricultural Mortgage,Credit Services,1735823733
AGMH,AGM Group Holdings,Software - Application,37594940
AGNC,AGNC Investment,REIT - Mortgage,5410800000
AGO,Assured Guaranty,Insurance - Specialty,3838375449
AGR,Avangrid,Utilities - Regulated Electric,12396010806
AGRI,AgriFORCE Growing Systems,Farm Products,1257421
AGRO,Adecoagro,Farm Products,1188143100
AGRX,Agile Therapeutics,Drug Manufacturers - Specialty & Generic,3927191
AGS,PlayAGS,Gambling,295529619
AGTI,Agiliti,Health Information Services,811704638
AGX,Argan,Engineering & Construction,601072931
AGYS,Agilysys,Software - Application,2285119398
AHCO,AdaptHealth,Medical Devices,1152817820
AHG,Akso Health Group,Credit Services,26295900
AHH,Armada Hoffler Properties,REIT - Diversified,942064990
AHI,Advanced Human Imaging,Software - Application,15853530
AHT,Ashford Hospitality Trust,REIT - Hotel & Motel,99587935
AI,C3.ai,Information Technology Services,3379395380
AIB,AIB Acquisition,Shell Companies,41002378
